home_country,Afghanistan,Angola,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Colombia,Costa Rica,Denmark,Ecuador,Egypt,France,Germany,India,Iraq,Malawi,Malaysia,Mexico,Morocco,Netherlands,Norway,Other,Pakistan,Peru,Poland,Portugal,Qatar,Russia,Saudi Arabia,Singapore,Slovakia,South Africa,Spain,Sweden,Switzerland,Turkey,UAE,UK,USA,Venezuela
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,957,771,0,0,0,0,0,0,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,6890,0
Algeria,0,0,0,0,0,0,1264,0,0,0,0,0,0,1472,8029,0,0,0,0,0,0,0,0,0,11258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,0,5152,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,0,7724,0,0,0,0,0,0,1342,0,0,0,0,0,0,0,2517,1512,1970,0
Bangladesh,0,0,0,6971,0,0,8469,0,5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7823,24283,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624,0,0,0,0,0,0,0,0,11045,0,0,1764,0,0,3894,0,0,0,0,0,0,0,0,0,1290,4787,0
Brazil,0,0,0,0,0,0,27918,0,0,0,0,0,0,0,0,0,0,0,0,0,58583,0,0,0,261519,0,0,0,49832,0,0,0,0,0,0,0,0,0,0,0,38031,133352,0
Cameroon,0,0,0,0,0,0,1391,0,0,0,0,0,0,0,4244,0,0,0,0,0,0,0,0,0,9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1741,3073,0
Chile,0,0,0,5813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10564,0,0,0,58598,0,0,0,0,0,0,0,0,0,0,18952,0,0,0,0,5377,23146,0
Cuba,0,0,0,0,0,0,1137,0,0,0,0,0,1239,0,0,0,0,0,0,0,1669,0,0,0,10162,0,0,0,0,0,0,0,0,0,0,4618,0,0,0,0,0,7488,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385,7240,0,0,0,0,0,0,0,0,44285,0,0,0,0,0,0,0,0,15748,0,0,0,0,0,0,12236,10109,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17453,0,0,0,0,9915,91016,0,0,0,0,0,0,0,0,0,0,0,12582,0,0,0,15776,15881,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8155,0,0,0,0,0,0,0,0,57231,0,0,0,0,0,0,0,0,0,0,4725,10118,0,0,0,8933,8210,0
France,0,0,0,0,0,0,100788,0,0,0,0,0,0,0,0,69666,0,0,0,0,0,0,0,0,754754,0,0,0,0,0,0,0,0,0,0,0,0,97362,0,0,156020,120408,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46071,0,0,0,0,0,0,0,37463,0,385960,0,0,0,0,0,0,0,0,0,0,0,0,75085,0,0,60711,107127,0
Indonesia,0,0,0,11528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10512,0,0,0,0,62130,0,0,0,0,0,0,0,11351,0,0,0,0,0,0,0,8299,13424,0
Iran,0,0,0,8643,0,0,27564,0,0,0,0,0,0,0,0,8814,0,0,0,0,0,0,0,0,51121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7410,31152,0
Iraq,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,2156,2237,11023,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51438,0,0,0,0,0,0,0,0,0,306186,0,0,0,0,0,0,0,0,0,0,58901,0,43310,0,0,97269,75357,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27815,0,0,0,0,4190,0,19230,0,0,0,0,0,0,0,18553,4738,14971,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610,0,0,0,0,0,0,0,14674,0,0,0,0,0,0,2491,0,0,0,0,0,0,0,3711,2054,3980,0
Netherlands,0,0,0,0,39526,0,0,0,0,0,0,0,0,0,0,40261,0,0,0,0,0,0,0,0,225271,0,0,0,0,0,0,0,0,0,0,19305,0,0,0,0,42445,43550,0
New Zealand,0,0,0,47203,0,0,8374,0,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40358,51952,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,895,0,0,0,7059,0,12858,0,0,0,0,0,0,0,0,1981,0,0,0,0,0,5005,0
Norway,0,0,0,4042,0,0,0,0,0,0,0,9557,0,0,0,0,0,0,0,0,0,0,0,0,49308,0,0,0,0,0,0,0,0,0,0,0,14284,0,0,0,13650,12980,0
Peru,0,0,21328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10058,0,0,0,55827,0,0,0,0,0,0,0,0,0,0,25378,0,0,0,0,0,69010,7436
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170316,0,0,0,0,21550,0,24205,40228,0,0,0,0,0,0,78331,0,112227,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19383,0,0,0,0,0,0,9624,0,101527,0,0,0,0,0,0,0,0,0,0,9552,0,0,0,0,36194,23198,0
Portugal,0,11519,0,0,0,23992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104721,0,0,0,0,0,0,0,0,0,0,21506,0,0,0,0,29707,11812,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3893,0,0,0,0,0,0,0,22108,0,0,0,0,0,0,3109,0,0,0,0,0,0,0,8044,3525,2626,0
Senegal,0,0,0,0,0,0,600,0,0,0,0,0,0,0,4818,0,0,0,0,0,0,468,0,0,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,1049,0
Singapore,0,0,0,47534,0,0,0,0,17346,0,0,0,0,0,0,0,0,0,0,10477,0,0,0,0,90597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43741,33766,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74868,60710,0,0,0,0,69600,0,0,0,451388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147416,99641,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204,0,0,0,0,1284,0,8457,0,0,0,0,0,0,0,5128,1969,2301,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,17938,0,0,0,0,0,0,0,0,0,0,0,22475,119557,0,0,0,0,0,0,0,0,0,0,0,0,14114,0,0,20751,26815,0
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2872,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,4528,0,0,0,0,0,0,4240,7740,0,3521,0
Tunisia,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,24291,2644,0,0,0,0,0,0,0,0,19396,0,0,0,0,2947,0,0,0,0,0,0,0,0,0,2198,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7023,19512,0,0,0,0,0,0,10245,0,127425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24490,48106,0
United States,0,0,0,0,0,0,181925,0,130347,0,0,0,0,0,0,143546,127608,0,0,0,0,0,0,0,2329632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387060,0,0
Venezuela,0,0,24597,0,0,0,0,35200,0,20877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100657,0,0,0,0,0,0,0,0,0,0,45297,0,0,0,0,0,40112,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13543,2956,0,0,0,0,0,0,0,0,13282,0,0,0,0,1207,5879,2930,0
